trend_tag,week_start,count,avg_engagement
euphoria_glitter_liner,2026-03-16,11,183.91
euphoria_glitter_liner,2026-03-23,4,233.5
euphoria_glitter_liner,2026-03-30,4,176.5
euphoria_glitter_liner,2026-04-06,1,130.0
fox_eye_siren_eye,2025-08-25,3,292.67
fox_eye_siren_eye,2025-09-01,7,287.29
fox_eye_siren_eye,2025-09-08,12,254.58
fox_eye_siren_eye,2025-09-15,7,176.71
fox_eye_siren_eye,2025-09-22,2,271.0
fox_eye_siren_eye,2025-09-29,6,211.83
fox_eye_siren_eye,2025-10-06,5,218.0
fox_eye_siren_eye,2025-10-13,5,236.6
fox_eye_siren_eye,2025-10-20,6,223.17
fox_eye_siren_eye,2025-10-27,6,194.83
fox_eye_siren_eye,2025-11-03,6,189.0
fox_eye_siren_eye,2025-11-10,6,228.83
fox_eye_siren_eye,2025-11-17,7,246.29
fox_eye_siren_eye,2025-11-24,7,197.57
fox_eye_siren_eye,2025-12-01,6,175.67
fox_eye_siren_eye,2025-12-08,6,178.67
fox_eye_siren_eye,2025-12-15,5,210.6
fox_eye_siren_eye,2025-12-22,5,198.4
fox_eye_siren_eye,2025-12-29,5,168.2
fox_eye_siren_eye,2026-01-05,5,194.6
fox_eye_siren_eye,2026-01-12,4,251.0
fox_eye_siren_eye,2026-01-19,9,222.78
fox_eye_siren_eye,2026-01-26,5,252.8
fox_eye_siren_eye,2026-02-02,8,180.25
fox_eye_siren_eye,2026-02-09,5,221.2
fox_eye_siren_eye,2026-02-16,7,214.29
fox_eye_siren_eye,2026-02-23,5,196.6
fox_eye_siren_eye,2026-03-02,4,185.75
fox_eye_siren_eye,2026-03-09,8,266.88
fox_eye_siren_eye,2026-03-16,4,113.5
fox_eye_siren_eye,2026-03-23,7,250.71
fox_eye_siren_eye,2026-03-30,5,189.6
fox_eye_siren_eye,2026-04-06,1,389.0
glass_skin,2025-08-25,3,287.0
glass_skin,2025-09-01,6,215.5
glass_skin,2025-09-08,5,199.4
glass_skin,2025-09-15,6,241.5
glass_skin,2025-09-22,7,272.43
glass_skin,2025-09-29,8,168.25
glass_skin,2025-10-06,4,133.5
glass_skin,2025-10-13,8,261.0
glass_skin,2025-10-20,3,99.0
glass_skin,2025-10-27,5,196.6
glass_skin,2025-11-03,7,204.0
glass_skin,2025-11-10,5,186.8
glass_skin,2025-11-17,6,127.67
glass_skin,2025-11-24,3,309.0
glass_skin,2025-12-01,7,192.86
glass_skin,2025-12-08,3,177.0
glass_skin,2025-12-15,11,266.0
glass_skin,2025-12-22,8,242.25
glass_skin,2025-12-29,9,155.22
glass_skin,2026-01-05,8,206.38
glass_skin,2026-01-12,7,217.86
glass_skin,2026-01-19,6,195.0
glass_skin,2026-01-26,3,232.33
glass_skin,2026-02-02,8,196.5
glass_skin,2026-02-09,8,239.12
glass_skin,2026-02-16,6,201.67
glass_skin,2026-02-23,4,254.25
glass_skin,2026-03-02,8,173.38
glass_skin,2026-03-09,9,207.67
glass_skin,2026-03-16,8,202.0
glass_skin,2026-03-23,9,222.0
glass_skin,2026-03-30,8,235.5
glass_skin,2026-04-06,1,80.0
graphic_editorial_liner,2025-08-25,2,166.0
graphic_editorial_liner,2025-09-01,3,201.33
graphic_editorial_liner,2025-09-08,4,207.75
graphic_editorial_liner,2025-09-15,6,151.5
graphic_editorial_liner,2025-09-22,8,201.62
graphic_editorial_liner,2025-09-29,8,172.75
graphic_editorial_liner,2025-10-06,8,233.75
graphic_editorial_liner,2025-10-13,9,150.44
graphic_editorial_liner,2025-10-20,5,214.2
graphic_editorial_liner,2025-10-27,2,254.5
graphic_editorial_liner,2025-11-03,3,51.33
graphic_editorial_liner,2025-11-10,8,266.75
graphic_editorial_liner,2025-11-17,2,106.5
graphic_editorial_liner,2025-11-24,4,170.25
graphic_editorial_liner,2025-12-01,5,231.8
graphic_editorial_liner,2025-12-08,7,209.86
graphic_editorial_liner,2025-12-15,2,155.5
graphic_editorial_liner,2025-12-22,6,217.83
graphic_editorial_liner,2025-12-29,8,251.62
graphic_editorial_liner,2026-01-05,5,297.8
graphic_editorial_liner,2026-01-12,9,222.89
graphic_editorial_liner,2026-01-19,6,162.17
graphic_editorial_liner,2026-01-26,4,201.75
graphic_editorial_liner,2026-02-02,5,239.0
graphic_editorial_liner,2026-02-09,6,253.5
graphic_editorial_liner,2026-02-16,6,176.17
graphic_editorial_liner,2026-02-23,6,154.67
graphic_editorial_liner,2026-03-02,7,235.14
graphic_editorial_liner,2026-03-09,5,185.2
graphic_editorial_liner,2026-03-16,6,265.17
graphic_editorial_liner,2026-03-23,3,189.33
graphic_editorial_liner,2026-03-30,9,152.22
graphic_editorial_liner,2026-04-06,2,162.0
latte_makeup,2025-08-25,3,96.0
latte_makeup,2025-09-01,7,197.57
latte_makeup,2025-09-08,5,287.6
latte_makeup,2025-09-15,5,270.4
latte_makeup,2025-09-22,8,148.38
latte_makeup,2025-09-29,7,257.43
latte_makeup,2025-10-06,6,181.33
latte_makeup,2025-10-13,5,214.6
latte_makeup,2025-10-20,8,184.5
latte_makeup,2025-10-27,8,216.5
latte_makeup,2025-11-03,10,213.3
latte_makeup,2025-11-10,4,272.0
latte_makeup,2025-11-17,6,185.83
latte_makeup,2025-11-24,8,244.38
latte_makeup,2025-12-01,11,254.82
latte_makeup,2025-12-08,7,254.57
latte_makeup,2025-12-15,7,209.71
latte_makeup,2025-12-22,2,240.5
latte_makeup,2025-12-29,10,224.9
latte_makeup,2026-01-05,7,218.14
latte_makeup,2026-01-12,9,196.56
latte_makeup,2026-01-19,7,209.86
latte_makeup,2026-01-26,3,229.67
latte_makeup,2026-02-02,6,270.67
latte_makeup,2026-02-09,8,199.0
latte_makeup,2026-02-16,3,261.33
latte_makeup,2026-02-23,5,202.2
latte_makeup,2026-03-02,4,174.75
latte_makeup,2026-03-09,7,241.71
latte_makeup,2026-03-16,5,288.6
latte_makeup,2026-03-23,4,193.5
latte_makeup,2026-03-30,6,285.5
latte_makeup,2026-04-06,3,180.67
strawberry_girl_blush,2025-08-25,5,119.4
strawberry_girl_blush,2025-09-01,6,228.33
strawberry_girl_blush,2025-09-08,10,251.7
strawberry_girl_blush,2025-09-15,7,238.71
strawberry_girl_blush,2025-09-22,6,150.17
strawberry_girl_blush,2025-09-29,7,161.0
strawberry_girl_blush,2025-10-06,7,227.29
strawberry_girl_blush,2025-10-13,8,254.25
strawberry_girl_blush,2025-10-20,5,192.2
strawberry_girl_blush,2025-10-27,10,176.0
strawberry_girl_blush,2025-11-03,2,151.5
strawberry_girl_blush,2025-11-10,11,301.0
strawberry_girl_blush,2025-11-17,7,281.0
strawberry_girl_blush,2025-11-24,4,171.75
strawberry_girl_blush,2025-12-01,6,233.67
strawberry_girl_blush,2025-12-08,6,162.0
strawberry_girl_blush,2025-12-15,6,173.33
strawberry_girl_blush,2025-12-22,8,283.38
strawberry_girl_blush,2025-12-29,6,202.67
strawberry_girl_blush,2026-01-05,6,235.0
strawberry_girl_blush,2026-01-12,5,201.6
strawberry_girl_blush,2026-01-19,8,218.75
strawberry_girl_blush,2026-01-26,9,229.78
strawberry_girl_blush,2026-02-02,7,200.86
strawberry_girl_blush,2026-02-09,8,168.88
strawberry_girl_blush,2026-02-16,8,201.75
strawberry_girl_blush,2026-02-23,9,252.89
strawberry_girl_blush,2026-03-02,8,251.25
strawberry_girl_blush,2026-03-09,9,213.0
strawberry_girl_blush,2026-03-16,4,161.0
strawberry_girl_blush,2026-03-23,11,181.91
strawberry_girl_blush,2026-03-30,9,117.78
strawberry_girl_blush,2026-04-06,2,242.5
