date,trend_tag,mention_count,post_count,avg_engagement_proxy,rolling_7d_mention_sum
2024-05-24,cherry_cola_lips,0,0,47.23,5
2024-05-25,cherry_cola_lips,2,0,44.52,7
2024-05-26,cherry_cola_lips,2,1,41.04,8
2024-05-27,cherry_cola_lips,0,0,35.87,6
2024-05-28,cherry_cola_lips,2,1,39.04,7
2024-05-29,cherry_cola_lips,1,0,47.74,7
2024-05-30,cherry_cola_lips,1,0,43.37,8
2024-05-31,cherry_cola_lips,1,0,46.71,9
2024-06-01,cherry_cola_lips,1,0,38.25,8
2024-06-02,cherry_cola_lips,1,0,37.46,7
2024-06-03,cherry_cola_lips,5,1,38.56,12
2024-06-04,cherry_cola_lips,2,1,51.26,12
2024-06-05,cherry_cola_lips,1,1,49.23,12
2024-06-06,cherry_cola_lips,1,0,31.33,12
2024-06-07,cherry_cola_lips,2,1,46.57,13
2024-06-08,cherry_cola_lips,1,1,36.16,13
2024-06-09,cherry_cola_lips,2,2,42.43,14
2024-06-10,cherry_cola_lips,1,1,36.22,10
2024-06-11,cherry_cola_lips,2,2,41.18,10
2024-06-12,cherry_cola_lips,1,1,45.81,10
2024-06-13,cherry_cola_lips,1,1,50.8,10
2024-06-14,cherry_cola_lips,3,2,39.31,11
2024-06-15,cherry_cola_lips,3,0,32.57,13
2024-06-16,cherry_cola_lips,3,0,42.38,14
2024-06-17,cherry_cola_lips,2,1,45.04,15
2024-06-18,cherry_cola_lips,2,1,41.43,15
2024-06-19,cherry_cola_lips,3,1,49.13,17
2024-06-20,cherry_cola_lips,1,0,49.01,17
2024-06-21,cherry_cola_lips,2,0,51.51,16
2024-06-22,cherry_cola_lips,2,0,40.57,15
2024-06-23,cherry_cola_lips,2,2,45.24,14
2024-06-24,cherry_cola_lips,3,0,42.46,15
2024-06-25,cherry_cola_lips,3,2,37.58,16
2024-06-26,cherry_cola_lips,2,1,42.81,15
2024-06-27,cherry_cola_lips,3,0,47.43,17
2024-06-28,cherry_cola_lips,4,3,40.04,19
2024-06-29,cherry_cola_lips,6,1,36.81,23
2024-06-30,cherry_cola_lips,4,1,43.72,25
2024-07-01,cherry_cola_lips,7,2,44.66,29
2024-07-02,cherry_cola_lips,3,0,42.7,29
2024-07-03,cherry_cola_lips,4,1,51.86,31
2024-07-04,cherry_cola_lips,4,0,47.9,32
2024-07-05,cherry_cola_lips,3,1,43.27,31
2024-07-06,cherry_cola_lips,2,0,40.57,27
2024-07-07,cherry_cola_lips,3,1,39.54,26
2024-07-08,cherry_cola_lips,4,0,38.87,23
2024-07-09,cherry_cola_lips,4,1,49.77,24
2024-07-10,cherry_cola_lips,4,0,42.17,24
2024-07-11,cherry_cola_lips,3,0,40.55,23
2024-07-12,cherry_cola_lips,4,1,47.32,24
2024-07-13,cherry_cola_lips,4,2,36.6,26
2024-07-14,cherry_cola_lips,4,2,53.24,27
2024-07-15,cherry_cola_lips,4,0,46.47,27
2024-07-16,cherry_cola_lips,3,1,52.94,26
2024-07-17,cherry_cola_lips,4,2,45.35,26
2024-07-18,cherry_cola_lips,4,1,42.38,27
2024-07-19,cherry_cola_lips,4,1,59.23,27
2024-07-20,cherry_cola_lips,4,1,43.34,27
2024-07-21,cherry_cola_lips,4,2,43.92,27
2024-07-22,cherry_cola_lips,3,0,48.04,26
2024-07-23,cherry_cola_lips,5,1,42.65,28
2024-07-24,cherry_cola_lips,4,2,46.64,28
2024-07-25,cherry_cola_lips,4,2,50.06,28
2024-07-26,cherry_cola_lips,5,3,55.27,29
2024-07-27,cherry_cola_lips,4,1,43.47,29
2024-07-28,cherry_cola_lips,5,2,35.18,30
2024-07-29,cherry_cola_lips,6,3,58.59,33
2024-07-30,cherry_cola_lips,6,2,50.83,34
2024-07-31,cherry_cola_lips,5,2,50.5,35
2024-08-01,cherry_cola_lips,5,1,59.08,36
2024-08-02,cherry_cola_lips,4,1,37.41,35
2024-08-03,cherry_cola_lips,5,3,43.79,36
2024-08-04,cherry_cola_lips,5,3,38.58,36
2024-08-05,cherry_cola_lips,6,2,39.39,36
2024-08-06,cherry_cola_lips,4,0,47.22,34
2024-08-07,cherry_cola_lips,4,2,54.46,33
2024-08-08,cherry_cola_lips,5,4,44.73,33
2024-08-09,cherry_cola_lips,4,2,51.97,33
2024-08-10,cherry_cola_lips,5,4,32.55,33
2024-08-11,cherry_cola_lips,5,0,36.48,33
2024-08-12,cherry_cola_lips,5,0,46.33,32
2024-08-13,cherry_cola_lips,5,2,40.47,33
2024-08-14,cherry_cola_lips,4,2,55.58,33
2024-08-15,cherry_cola_lips,6,1,44.6,34
2024-08-16,cherry_cola_lips,5,1,47.09,35
2024-08-17,cherry_cola_lips,5,1,36.44,35
2024-08-18,cherry_cola_lips,6,2,58.29,36
2024-08-19,cherry_cola_lips,5,0,40.9,36
2024-08-20,cherry_cola_lips,4,1,40.76,35
2024-08-21,cherry_cola_lips,5,1,40.66,36
2024-08-22,cherry_cola_lips,5,0,44.47,35
2024-08-23,cherry_cola_lips,4,1,44.21,34
2024-08-24,cherry_cola_lips,5,2,40.37,34
2024-08-25,cherry_cola_lips,6,2,32.86,34
2024-08-26,cherry_cola_lips,5,2,34.48,34
2024-08-27,cherry_cola_lips,5,0,45.84,35
2024-08-28,cherry_cola_lips,6,3,63.61,36
2024-08-29,cherry_cola_lips,5,1,45.77,36
2024-08-30,cherry_cola_lips,5,3,44.87,37
2024-08-31,cherry_cola_lips,5,2,52.07,37
2024-09-01,cherry_cola_lips,5,2,42.15,36
2024-09-02,cherry_cola_lips,5,1,56.21,36
2024-09-03,cherry_cola_lips,5,2,42.72,36
2024-09-04,cherry_cola_lips,4,0,48.07,34
2024-09-05,cherry_cola_lips,5,2,43.64,34
2024-09-06,cherry_cola_lips,5,0,42.82,34
2024-09-07,cherry_cola_lips,5,2,52.41,34
2024-09-08,cherry_cola_lips,6,4,50.65,35
2024-09-09,cherry_cola_lips,4,1,30.21,34
2024-09-10,cherry_cola_lips,6,2,45.49,35
2024-09-11,cherry_cola_lips,4,2,51.47,35
2024-09-12,cherry_cola_lips,5,3,61.95,35
2024-09-13,cherry_cola_lips,5,2,51.59,35
2024-09-14,cherry_cola_lips,5,1,45.23,35
2024-09-15,cherry_cola_lips,6,2,45.5,35
2024-09-16,cherry_cola_lips,7,2,41.11,38
2024-09-17,cherry_cola_lips,6,0,41.97,38
2024-09-18,cherry_cola_lips,6,1,49.79,40
2024-09-19,cherry_cola_lips,5,2,57.24,40
2024-09-20,cherry_cola_lips,6,2,57.13,41
2024-09-21,cherry_cola_lips,7,2,42.05,43
2024-09-22,cherry_cola_lips,7,1,48.23,44
2024-09-23,cherry_cola_lips,6,1,44.93,43
2024-09-24,cherry_cola_lips,6,3,48.06,43
2024-09-25,cherry_cola_lips,7,2,41.32,44
2024-09-26,cherry_cola_lips,6,1,55.89,45
2024-09-27,cherry_cola_lips,7,0,54.42,46
2024-09-28,cherry_cola_lips,6,2,34.64,45
2024-09-29,cherry_cola_lips,8,3,37.57,46
2024-09-30,cherry_cola_lips,8,3,34.48,48
2024-10-01,cherry_cola_lips,7,4,41.53,49
2024-10-02,cherry_cola_lips,7,5,62.04,49
2024-10-03,cherry_cola_lips,7,1,57.78,50
2024-10-04,cherry_cola_lips,6,3,41.75,49
2024-10-05,cherry_cola_lips,6,3,37.97,49
2024-10-06,cherry_cola_lips,8,1,37.77,49
2024-10-07,cherry_cola_lips,8,1,35.89,49
2024-10-08,cherry_cola_lips,8,3,50.48,50
2024-10-09,cherry_cola_lips,8,3,47.42,51
2024-10-10,cherry_cola_lips,8,3,51.11,52
2024-10-11,cherry_cola_lips,7,1,52.25,53
2024-10-12,cherry_cola_lips,8,1,52.85,55
2024-10-13,cherry_cola_lips,8,1,48.84,55
2024-10-14,cherry_cola_lips,8,2,46.8,55
2024-10-15,cherry_cola_lips,8,4,54.01,55
2024-10-16,cherry_cola_lips,7,1,47.44,54
2024-10-17,cherry_cola_lips,7,3,57.7,53
2024-10-18,cherry_cola_lips,8,6,47.2,54
2024-10-19,cherry_cola_lips,8,4,59.94,54
2024-10-20,cherry_cola_lips,9,1,43.02,55
2024-10-21,cherry_cola_lips,8,5,40.3,55
2024-10-22,cherry_cola_lips,8,2,56.23,55
2024-10-23,cherry_cola_lips,8,0,48.24,56
2024-10-24,cherry_cola_lips,7,2,57.64,56
2024-10-25,cherry_cola_lips,6,2,45.1,54
2024-10-26,cherry_cola_lips,8,1,56.69,54
2024-10-27,cherry_cola_lips,7,0,45.91,52
2024-10-28,cherry_cola_lips,9,3,53.6,53
2024-10-29,cherry_cola_lips,9,3,52.95,54
2024-10-30,cherry_cola_lips,7,1,48.94,53
2024-10-31,cherry_cola_lips,7,3,44.29,53
2024-11-01,cherry_cola_lips,8,4,47.56,55
2024-11-02,cherry_cola_lips,8,2,42.75,55
2024-11-03,cherry_cola_lips,8,1,36.78,56
2024-11-04,cherry_cola_lips,9,4,35.71,56
2024-11-05,cherry_cola_lips,8,1,46.64,55
2024-11-06,cherry_cola_lips,7,3,43.22,55
2024-11-07,cherry_cola_lips,7,1,61.83,55
2024-11-08,cherry_cola_lips,7,2,57.47,54
2024-11-09,cherry_cola_lips,8,2,37.95,54
2024-11-10,cherry_cola_lips,8,1,47.4,54
2024-11-11,cherry_cola_lips,8,6,40.03,53
2024-11-12,cherry_cola_lips,8,4,47.0,53
2024-11-13,cherry_cola_lips,6,2,40.02,52
2024-11-14,cherry_cola_lips,8,1,50.76,53
2024-11-15,cherry_cola_lips,8,1,49.36,54
2024-11-16,cherry_cola_lips,8,0,40.56,54
2024-11-17,cherry_cola_lips,8,4,40.49,54
2024-11-18,cherry_cola_lips,7,4,47.42,53
2024-11-19,cherry_cola_lips,8,7,56.28,53
2024-11-20,cherry_cola_lips,6,3,48.92,53
2024-11-21,cherry_cola_lips,7,2,45.93,52
2024-11-22,cherry_cola_lips,6,2,47.14,50
2024-11-23,cherry_cola_lips,8,1,55.34,50
2024-11-24,cherry_cola_lips,6,2,43.66,48
2024-11-25,cherry_cola_lips,6,2,44.54,47
2024-11-26,cherry_cola_lips,7,2,43.95,46
2024-11-27,cherry_cola_lips,7,1,54.87,47
2024-11-28,cherry_cola_lips,7,2,40.21,47
2024-11-29,cherry_cola_lips,7,4,47.32,48
2024-11-30,cherry_cola_lips,7,2,50.24,47
2024-12-01,cherry_cola_lips,7,2,43.99,48
2024-12-02,cherry_cola_lips,7,2,49.11,49
2024-12-03,cherry_cola_lips,7,3,41.35,49
2024-12-04,cherry_cola_lips,7,1,56.1,49
2024-12-05,cherry_cola_lips,6,0,54.44,48
2024-12-06,cherry_cola_lips,5,0,60.47,46
2024-12-07,cherry_cola_lips,7,1,46.6,46
2024-12-08,cherry_cola_lips,8,3,50.12,47
2024-12-09,cherry_cola_lips,7,2,48.54,47
2024-12-10,cherry_cola_lips,6,2,51.25,46
2024-12-11,cherry_cola_lips,7,4,49.16,46
2024-12-12,cherry_cola_lips,7,0,46.28,47
2024-12-13,cherry_cola_lips,5,1,53.55,47
2024-12-14,cherry_cola_lips,7,4,46.16,47
2024-12-15,cherry_cola_lips,6,0,46.52,45
2024-12-16,cherry_cola_lips,8,3,37.78,46
2024-12-17,cherry_cola_lips,8,2,52.2,48
2024-12-18,cherry_cola_lips,13,4,57.28,54
2024-12-19,cherry_cola_lips,6,2,60.64,53
2024-12-20,cherry_cola_lips,7,2,51.32,55
2024-12-21,cherry_cola_lips,8,4,44.33,56
2024-12-22,cherry_cola_lips,8,5,47.43,58
2024-12-23,cherry_cola_lips,7,2,53.9,57
2024-12-24,cherry_cola_lips,6,3,39.29,55
2024-12-25,cherry_cola_lips,8,2,52.57,50
2024-12-26,cherry_cola_lips,8,5,48.09,52
2024-12-27,cherry_cola_lips,7,3,57.59,52
2024-12-28,cherry_cola_lips,6,4,46.79,50
2024-12-29,cherry_cola_lips,8,2,48.82,50
2024-12-30,cherry_cola_lips,9,0,38.28,52
2024-12-31,cherry_cola_lips,9,2,55.49,55
2025-01-01,cherry_cola_lips,7,2,39.83,54
2025-01-02,cherry_cola_lips,8,3,48.11,54
2025-01-03,cherry_cola_lips,6,4,38.95,53
2025-01-04,cherry_cola_lips,8,0,44.39,55
2025-01-05,cherry_cola_lips,8,4,40.48,55
2025-01-06,cherry_cola_lips,9,5,45.22,55
2025-01-07,cherry_cola_lips,7,1,48.17,53
2025-01-08,cherry_cola_lips,8,7,55.34,54
2025-01-09,cherry_cola_lips,8,1,56.79,54
2025-01-10,cherry_cola_lips,8,1,47.54,56
2025-01-11,cherry_cola_lips,8,2,47.6,56
2025-01-12,cherry_cola_lips,9,2,50.43,57
2025-01-13,cherry_cola_lips,8,1,38.89,56
2025-01-14,cherry_cola_lips,7,3,45.87,56
2025-01-15,cherry_cola_lips,7,3,48.39,55
2025-01-16,cherry_cola_lips,7,1,47.71,54
2025-01-17,cherry_cola_lips,9,1,61.79,55
2025-01-18,cherry_cola_lips,9,3,51.74,56
2025-01-19,cherry_cola_lips,8,2,39.08,55
2025-01-20,cherry_cola_lips,8,3,52.79,55
2025-01-21,cherry_cola_lips,8,1,52.51,56
2025-01-22,cherry_cola_lips,8,4,50.51,57
2025-01-23,cherry_cola_lips,8,2,48.82,58
2025-01-24,cherry_cola_lips,8,1,38.24,57
2025-01-25,cherry_cola_lips,9,4,50.92,57
2025-01-26,cherry_cola_lips,8,2,33.46,57
2025-01-27,cherry_cola_lips,8,4,45.5,57
2025-01-28,cherry_cola_lips,7,0,49.31,56
2025-01-29,cherry_cola_lips,7,2,59.9,55
2025-01-30,cherry_cola_lips,8,2,61.13,55
2025-01-31,cherry_cola_lips,8,2,40.77,55
2025-02-01,cherry_cola_lips,8,1,54.78,54
2025-02-02,cherry_cola_lips,8,4,49.8,54
2025-02-03,cherry_cola_lips,8,0,34.58,54
2025-02-04,cherry_cola_lips,7,2,41.41,54
2025-02-05,cherry_cola_lips,7,5,47.67,54
2025-02-06,cherry_cola_lips,9,7,63.94,55
2025-02-07,cherry_cola_lips,8,3,63.76,55
2025-02-08,cherry_cola_lips,10,2,40.56,57
2025-02-09,cherry_cola_lips,8,2,33.76,57
2025-02-10,cherry_cola_lips,8,2,47.76,57
2025-02-11,cherry_cola_lips,8,2,47.91,58
2025-02-12,cherry_cola_lips,7,3,47.87,58
2025-02-13,cherry_cola_lips,6,5,45.72,55
2025-02-14,cherry_cola_lips,7,3,46.86,54
2025-02-15,cherry_cola_lips,7,4,42.1,51
2025-02-16,cherry_cola_lips,8,3,41.59,51
2025-02-17,cherry_cola_lips,8,1,55.19,51
2025-02-18,cherry_cola_lips,7,1,49.36,50
2025-02-19,cherry_cola_lips,6,4,47.15,49
2025-02-20,cherry_cola_lips,6,4,60.22,49
2025-02-21,cherry_cola_lips,5,2,47.87,47
2025-02-22,cherry_cola_lips,7,1,40.42,47
2025-02-23,cherry_cola_lips,7,4,37.52,46
2025-02-24,cherry_cola_lips,7,0,45.42,45
2025-02-25,cherry_cola_lips,6,2,49.72,44
2025-02-26,cherry_cola_lips,6,2,57.99,44
2025-02-27,cherry_cola_lips,6,2,33.01,44
2025-02-28,cherry_cola_lips,8,6,60.18,47
2025-03-01,cherry_cola_lips,8,3,47.69,48
2025-03-02,cherry_cola_lips,7,3,38.94,48
2025-03-03,cherry_cola_lips,6,2,50.59,47
2025-03-04,cherry_cola_lips,7,3,45.54,48
2025-03-05,cherry_cola_lips,7,2,54.67,49
2025-03-06,cherry_cola_lips,7,3,39.34,50
2025-03-07,cherry_cola_lips,6,2,37.43,48
2025-03-08,cherry_cola_lips,6,0,49.8,46
2025-03-09,cherry_cola_lips,8,3,51.15,47
2025-03-10,cherry_cola_lips,6,2,46.44,47
2025-03-11,cherry_cola_lips,6,2,46.69,46
2025-03-12,cherry_cola_lips,6,2,58.62,45
2025-03-13,cherry_cola_lips,6,3,58.07,44
2025-03-14,cherry_cola_lips,7,0,52.18,45
2025-03-15,cherry_cola_lips,7,0,54.75,46
2025-03-16,cherry_cola_lips,7,1,48.49,45
2025-03-17,cherry_cola_lips,7,1,43.28,46
2025-03-18,cherry_cola_lips,8,1,56.23,48
2025-03-19,cherry_cola_lips,7,3,51.61,49
2025-03-20,cherry_cola_lips,6,0,48.39,49
2025-03-21,cherry_cola_lips,7,5,52.82,49
2025-03-22,cherry_cola_lips,7,4,49.77,49
2025-03-23,cherry_cola_lips,8,0,48.11,50
2025-03-24,cherry_cola_lips,9,4,44.8,52
2025-03-25,cherry_cola_lips,7,3,44.71,51
2025-03-26,cherry_cola_lips,7,1,51.36,51
2025-03-27,cherry_cola_lips,6,1,52.61,51
2025-03-28,cherry_cola_lips,8,3,45.9,52
2025-03-29,cherry_cola_lips,7,0,41.05,52
2025-03-30,cherry_cola_lips,8,2,46.06,52
2025-03-31,cherry_cola_lips,8,0,48.55,51
2025-04-01,cherry_cola_lips,7,1,59.59,51
2025-04-02,cherry_cola_lips,7,3,38.8,51
2025-04-03,cherry_cola_lips,7,3,54.47,52
2025-04-04,cherry_cola_lips,8,2,41.17,52
2025-04-05,cherry_cola_lips,7,4,47.49,52
2025-04-06,cherry_cola_lips,7,1,40.67,51
2025-04-07,cherry_cola_lips,9,4,63.06,52
2025-04-08,cherry_cola_lips,8,5,36.01,53
2025-04-09,cherry_cola_lips,7,2,45.12,53
2025-04-10,cherry_cola_lips,8,2,56.54,54
2025-04-11,cherry_cola_lips,8,0,47.59,54
2025-04-12,cherry_cola_lips,7,3,49.67,54
2025-04-13,cherry_cola_lips,8,3,40.77,55
2025-04-14,cherry_cola_lips,8,3,40.57,54
2025-04-15,cherry_cola_lips,8,3,47.78,54
2025-04-16,cherry_cola_lips,7,3,60.27,54
2025-04-17,cherry_cola_lips,7,3,57.77,53
2025-04-18,cherry_cola_lips,8,2,63.47,53
2025-04-19,cherry_cola_lips,15,8,59.44,61
2025-04-20,cherry_cola_lips,8,4,51.61,61
2025-04-21,cherry_cola_lips,9,5,43.14,62
2025-04-22,cherry_cola_lips,9,4,50.05,63
2025-04-23,cherry_cola_lips,9,5,59.07,65
2025-04-24,cherry_cola_lips,6,3,55.37,64
2025-04-25,cherry_cola_lips,8,5,50.72,64
2025-04-26,cherry_cola_lips,8,0,39.58,57
2025-04-27,cherry_cola_lips,8,3,47.65,57
2025-04-28,cherry_cola_lips,9,1,53.66,57
2025-04-29,cherry_cola_lips,8,1,36.95,56
2025-04-30,cherry_cola_lips,8,2,53.26,55
2025-05-01,cherry_cola_lips,8,2,52.15,57
2025-05-02,cherry_cola_lips,9,2,59.47,58
2025-05-03,cherry_cola_lips,8,5,46.36,58
2025-05-04,cherry_cola_lips,8,2,49.56,58
2025-05-05,cherry_cola_lips,8,3,48.14,57
2025-05-06,cherry_cola_lips,8,4,57.06,57
2025-05-07,cherry_cola_lips,8,0,41.18,57
2025-05-08,cherry_cola_lips,8,4,46.77,57
2025-05-09,cherry_cola_lips,9,2,62.86,57
2025-05-10,cherry_cola_lips,8,5,53.23,57
2025-05-11,cherry_cola_lips,9,5,52.13,58
2025-05-12,cherry_cola_lips,8,2,46.04,58
2025-05-13,cherry_cola_lips,7,3,51.03,57
2025-05-14,cherry_cola_lips,8,2,51.24,57
2025-05-15,cherry_cola_lips,7,4,50.25,56
2025-05-16,cherry_cola_lips,7,3,41.93,54
2025-05-17,cherry_cola_lips,8,3,43.6,54
2025-05-18,cherry_cola_lips,9,4,34.47,54
2025-05-19,cherry_cola_lips,7,1,45.59,53
2025-05-20,cherry_cola_lips,8,4,45.22,54
2025-05-21,cherry_cola_lips,7,4,44.01,53
2025-05-22,cherry_cola_lips,7,1,62.66,53
2025-05-23,cherry_cola_lips,8,0,43.33,54
2025-05-24,cherry_cola_lips,7,2,59.45,53
2025-05-25,cherry_cola_lips,7,2,51.24,51
2025-05-26,cherry_cola_lips,10,3,39.02,54
2025-05-27,cherry_cola_lips,8,3,48.06,54
2025-05-28,cherry_cola_lips,7,2,46.25,54
2025-05-29,cherry_cola_lips,7,1,69.08,54
2025-05-30,cherry_cola_lips,8,2,58.99,54
2025-05-31,cherry_cola_lips,8,1,50.71,55
2025-06-01,cherry_cola_lips,8,3,40.21,56
2025-06-02,cherry_cola_lips,7,3,34.6,53
2025-06-03,cherry_cola_lips,8,3,52.22,53
2025-06-04,cherry_cola_lips,8,1,47.25,54
2025-06-05,cherry_cola_lips,8,2,60.7,55
2025-06-06,cherry_cola_lips,7,2,43.21,54
2025-06-07,cherry_cola_lips,7,1,45.33,53
2025-06-08,cherry_cola_lips,8,1,45.91,53
2025-06-09,cherry_cola_lips,9,4,48.1,55
2025-06-10,cherry_cola_lips,9,1,72.09,56
2025-06-11,cherry_cola_lips,8,3,63.72,56
2025-06-12,cherry_cola_lips,8,2,60.29,56
2025-06-13,cherry_cola_lips,9,4,57.55,58
2025-06-14,cherry_cola_lips,8,2,44.34,59
2025-06-15,cherry_cola_lips,10,3,49.52,61
2025-06-16,cherry_cola_lips,10,2,41.82,62
2025-06-17,cherry_cola_lips,9,1,41.48,62
2025-06-18,cherry_cola_lips,10,6,53.45,64
2025-06-19,cherry_cola_lips,9,1,48.5,65
2025-06-20,cherry_cola_lips,7,5,45.04,63
2025-06-21,cherry_cola_lips,9,3,46.84,64
2025-06-22,cherry_cola_lips,9,1,44.48,63
2025-06-23,cherry_cola_lips,11,4,28.9,64
2025-06-24,cherry_cola_lips,9,0,57.26,64
2025-06-25,cherry_cola_lips,9,4,40.31,63
2025-06-26,cherry_cola_lips,10,2,53.42,64
2025-06-27,cherry_cola_lips,10,0,48.48,67
2025-06-28,cherry_cola_lips,11,0,51.05,69
2025-06-29,cherry_cola_lips,9,4,53.89,69
2025-06-30,cherry_cola_lips,11,2,42.39,69
2025-07-01,cherry_cola_lips,10,3,60.71,70
2025-07-02,cherry_cola_lips,9,5,56.91,70
2025-07-03,cherry_cola_lips,10,3,61.25,70
2025-07-04,cherry_cola_lips,11,2,72.54,71
2025-07-05,cherry_cola_lips,10,2,42.96,70
2025-07-06,cherry_cola_lips,10,0,52.95,71
2025-07-07,cherry_cola_lips,11,5,34.28,71
2025-07-08,cherry_cola_lips,10,2,50.15,71
2025-07-09,cherry_cola_lips,10,4,66.17,72
2025-07-10,cherry_cola_lips,11,2,53.96,73
2025-07-11,cherry_cola_lips,11,1,54.24,73
2025-07-12,cherry_cola_lips,10,3,51.4,73
2025-07-13,cherry_cola_lips,11,4,57.37,74
2025-07-14,cherry_cola_lips,12,4,49.78,75
2025-07-15,cherry_cola_lips,13,5,54.1,78
2025-07-16,cherry_cola_lips,10,0,55.08,78
2025-07-17,cherry_cola_lips,12,5,54.55,79
2025-07-18,cherry_cola_lips,10,4,55.34,78
2025-07-19,cherry_cola_lips,11,6,57.76,79
2025-07-20,cherry_cola_lips,12,6,58.17,80
2025-07-21,cherry_cola_lips,11,6,40.26,79
2025-07-22,cherry_cola_lips,12,1,54.87,78
2025-07-23,cherry_cola_lips,11,2,61.53,79
2025-07-24,cherry_cola_lips,11,0,62.98,78
2025-07-25,cherry_cola_lips,11,3,57.13,79
2025-07-26,cherry_cola_lips,11,3,48.51,79
2025-07-27,cherry_cola_lips,12,1,48.35,79
2025-07-28,cherry_cola_lips,13,4,43.04,81
2025-07-29,cherry_cola_lips,11,2,51.07,80
2025-07-30,cherry_cola_lips,11,1,53.48,80
2025-07-31,cherry_cola_lips,11,5,60.22,80
2025-08-01,cherry_cola_lips,10,2,49.82,79
2025-08-02,cherry_cola_lips,11,4,46.54,79
2025-08-03,cherry_cola_lips,12,4,47.06,79
2025-08-04,cherry_cola_lips,13,4,56.11,79
2025-08-05,cherry_cola_lips,12,5,48.74,80
2025-08-06,cherry_cola_lips,11,6,60.52,80
2025-08-07,cherry_cola_lips,11,3,57.57,80
2025-08-08,cherry_cola_lips,10,6,53.07,80
2025-08-09,cherry_cola_lips,10,4,45.93,79
2025-08-10,cherry_cola_lips,13,2,34.04,80
2025-08-11,cherry_cola_lips,12,6,42.81,79
2025-08-12,cherry_cola_lips,11,4,49.04,78
2025-08-13,cherry_cola_lips,11,4,51.83,78
2025-08-14,cherry_cola_lips,11,4,47.99,78
2025-08-15,cherry_cola_lips,12,5,41.79,80
2025-08-16,cherry_cola_lips,12,2,44.24,82
2025-08-17,cherry_cola_lips,11,5,49.15,80
2025-08-18,cherry_cola_lips,11,7,37.28,79
2025-08-19,cherry_cola_lips,13,5,53.8,81
2025-08-20,cherry_cola_lips,12,3,51.19,82
2025-08-21,cherry_cola_lips,11,3,51.03,82
2025-08-22,cherry_cola_lips,13,3,46.98,83
2025-08-23,cherry_cola_lips,12,2,50.05,83
2025-08-24,cherry_cola_lips,12,7,43.42,84
2025-08-25,cherry_cola_lips,12,7,42.65,85
2025-08-26,cherry_cola_lips,13,7,54.13,85
2025-08-27,cherry_cola_lips,11,2,50.28,84
2025-08-28,cherry_cola_lips,12,2,50.18,85
2025-08-29,cherry_cola_lips,12,5,73.44,84
2025-08-30,cherry_cola_lips,11,3,51.52,83
2025-08-31,cherry_cola_lips,12,3,58.38,83
2025-09-01,cherry_cola_lips,13,4,46.36,84
2025-09-02,cherry_cola_lips,11,2,47.28,82
2025-09-03,cherry_cola_lips,11,3,49.06,82
2025-09-04,cherry_cola_lips,12,2,78.23,82
2025-09-05,cherry_cola_lips,12,9,58.51,82
